Complexity,Loss,Equation
1,0.016224393612253998,"-0.035496608309866576"
3,0.007734258884417363,"x1 * 0.09795609516373394"
5,0.003142029121855499,"(x1 * 0.183087516864005) + 0.10934563859676127"
7,0.00014274585554348778,"((x1 * 0.19540849978202418) + 0.2928362064548977) * x1"
9,9.683821799841208e-5,"(x1 * ((x1 * 0.21734571494099653) + 0.2997660339237867)) + -0.019199798620697154"
13,6.274263692826675e-5,"(x1 * ((((x1 * 0.03562213496867503) + 0.23758827063908514) * x1) + 0.27341496383487657)) + -0.024516643910891273"
15,1.7666716168911853e-5,"(((((x1 * (x1 * -0.05413784308133695)) + 0.297441373094429) * x1) + 0.2972030255669484) * x1) + -0.03713773650842149"
17,1.2666332468178929e-5,"(((x1 * ((x1 * ((x1 + 0.31222637220945004) * -0.072372624238863)) + 0.31158249384528447)) + 0.31305985162811784) * x1) + -0.039806796251170444"
19,1.266451233263041e-5,"(((((((x1 / 1.0136785555695733) + 0.31213208038770923) * (x1 * -0.07357872415386982)) + 0.3116866724470816) * x1) + 0.313319898732082) * x1) + -0.03982434460119363"
23,6.708035091384347e-6,"(-0.14989797292112023 - ((x1 * -0.03227037945782646) * ((x1 + -2.192826444883019) + (x1 * x1)))) * ((((x1 * -1.2429597438897024) + -2.113330874659814) * x1) - -0.2845828175741228)"
25,6.6097313098196945e-6,"((((x1 * -1.2669307238399004) + -2.099001469595361) * x1) - -0.28493735487760513) * (-0.1500892255888106 - ((x1 * -0.033338117539204175) * ((((x1 + -0.058645331304229234) * x1) + x1) + -2.107721008997406)))"
27,6.609610163086941e-6,"((((x1 * -1.267011755368738) + -2.0989499100194555) * x1) - -0.28495937115441206) * (-0.1500921607570162 - ((x1 * -0.033342832843493674) * (((((x1 + -0.05872306188736274) * x1) + 0.0052114924088908976) + x1) + -2.1125574628588577)))"
29,3.743562443749718e-6,"((x1 * ((x1 * (x1 * ((x1 * -1.8998190822312653) + -1.3601025865962197))) + -3.1262101667163553)) - -0.3494184827974124) * (-0.10337259916138326 - (x1 * ((x1 + ((x1 * x1) + -1.4720378474797413)) * -0.04916673602283742)))"
