Complexity,Loss,Equation
1,0.025844285587574782,"0.07821975567065749"
3,0.013112229454094933,"0.07162046832222264 / x1"
5,0.0007800976329324793,"-0.2653493405966291 - (-0.19733439200964187 / x1)"
7,6.10519309808575e-5,"-0.49276261416933875 - (-0.5473011914645531 / (x1 + 0.3404990159217465))"
9,3.254734988514854e-6,"(((x1 * 0.5811314433619257) - 1.3846588094081285) * x1) + 0.7151528235595042"
13,2.4442891207813176e-6,"((x1 * 0.6254042572404744) + ((0.012517519339941328 - x1) / x1)) * (x1 - 0.7552943381252447)"
15,2.4344119666422775e-6,"(((0.01731249991858887 - x1) / (x1 + -0.0050395321925029825)) + (x1 * 0.6256383648969663)) * (x1 - 0.7552569116684374)"
17,6.531792809626991e-7,"(x1 - 0.7548339794492451) * ((1.6925270303088906 - (x1 * ((1.5791619662069127 - (x1 + -0.4040277929537515)) * x1))) * -0.5008401520239557)"
19,4.1525106807282707e-7,"(x1 - 0.7533996427243668) * ((2.225748905753434 - ((1.799812773236102 - ((x1 + -0.4972604032242027) * x1)) * (x1 * x1))) * -0.3756485385887228)"
21,3.938126125057103e-7,"(x1 - 0.7532863966347377) * ((2.2270915786963736 - ((x1 * x1) * (1.7927108664007863 - (((x1 + -0.4857125477657705) * x1) * 0.9660295453485148)))) * -0.3751476302155371)"
23,3.9375618060485904e-7,"(x1 - 0.7532837855173868) * ((2.22692024243648 - ((1.7929859136082338 - (((x1 + -0.4859867257996506) * x1) * 0.9659209262521704)) * (x1 * (x1 / 1.000588857706076)))) * -0.3751667018352085)"
27,2.95881130336424e-7,"((x1 - 0.7530601235193092) * (2.387041338312622 - ((x1 - (1.0751203942455012 - x1)) * (((1.177623349236707 - (x1 + -0.8480561394875898)) * (x1 * 1.7311152598854378)) - (x1 + -0.4090529357733674))))) * -0.2697347328785601"
29,2.923377401228797e-7,"(2.3905105223968977 - ((x1 - (1.0765233238572747 - x1)) * ((((1.1766445636566745 - ((x1 * 0.995713683565703) + -0.8470773539073766)) * x1) * 1.7251784051849148) - (x1 + -0.4121859001093584)))) * ((x1 - 0.7531883372518244) * -0.26916443208149676)"
