Complexity,Loss,Equation
1,1.1935620872898555e-7,"-0.00026513880927051664"
3,8.596277574642626e-10,"x1 * 0.010855962398306985"
5,2.493073321474028e-11,"(x1 * 0.01037449957361032) + -3.4728142288886e-5"
7,2.4930733214740037e-11,"(0.007310911506579717 - (x1 * -0.010374499572986385)) + -0.007345639648882159"
9,1.0269141496263541e-16,"(x1 * ((x1 * 0.0052924387617957775) + 0.010227187084556937)) + -4.647818052396531e-5"
11,1.0269138531165801e-16,"(x1 * 0.010227187084556937) + (((x1 * x1) * 0.005292441945793492) + -4.647818052396531e-5)"
13,8.237595405333084e-17,"(x1 * (0.010227184448595043 + ((0.0052966324618779845 + (x1 * -4.6483895299586294e-5)) * x1))) + -4.6483895299586294e-5"
15,8.234001753530008e-17,"((x1 * (((x1 * -4.6483895299586294e-5) + 0.005296274385297767) * x1)) + (x1 * 0.010227184448595043)) + -4.6483895299586294e-5"
17,6.519848104685027e-17,"(x1 * 0.010227182512751442) + (((((x1 * x1) * -0.0005981066423249915) + 0.005297856956809804) * (x1 * x1)) + -4.6484378956500895e-5)"
19,5.4046154044585777e-17,"(((x1 * x1) * (((x1 * x1) * (x1 * -0.00794744274055261)) + 0.0052966324618779845)) + (x1 * 0.010227184448595043)) + -4.6483895299586294e-5"
21,2.9172811871045385e-17,"((x1 - 0.005284805232883999) * 0.010227174290353242) + ((x1 * (((x1 * ((x1 * x1) * -0.01296084366128439)) + 0.0053011688519184795) * x1)) + 7.5581194020832654e-6)"
25,2.1988259131458002e-17,"(((x1 - 0.005284805232883999) * 0.010227174290353242) + 7.5581194020832654e-6) + ((x1 * x1) * (((x1 * x1) * (((x1 * -1.437286860355867) * x1) * x1)) + 0.0053011688519184795))"
29,2.1938692630070545e-17,"((x1 * x1) * (((x1 * (x1 * x1)) * ((x1 * x1) * (-1.2716208444713535 - (0.26207273662990493 - x1)))) + 0.0053011688519184795)) + ((0.010227174290353242 * (x1 - 0.005284805232883999)) + 7.5581194020832654e-6)"
