Complexity,Loss,Equation
1,1.0962177885774197e-11,"1.6316175770096955e-5"
3,2.6725732231353972e-12,"3.601374821705663e-6 / x1"
5,1.454647042156808e-13,"(x1 * -0.0001106712803786812) - -4.0927745571620226e-5"
7,4.5793816398521576e-15,"((x1 * -0.00022341582614770168) * x1) - -2.756247428527683e-5"
9,1.8913934714583485e-15,"(x1 * ((-0.0681548562442306 - x1) * 0.0001967487170721057)) - -2.9202143531946026e-5"
11,3.8250613588275284e-16,"((-1.7327345436031277e-6 - (x1 * -4.295692576499583e-6)) - (-7.460034838440666e-8 / x1)) * -37.363602681001204"
13,3.825061332167218e-16,"(-3.323112154423915e-6 - ((x1 * -8.238461012595762e-6) - (1.8476347644673638e-7 / (x1 / 0.7743525364291677)))) * -19.482129852085713"
15,7.807417742206465e-17,"(((x1 * (2.2377058559268687e-5 - (x1 * 5.757251086557103e-5))) * (x1 + 2.433032399862995)) - 1.9825244484782782e-6) / x1"
17,7.605793063882484e-17,"(x1 + 2.449328267110604) * (((((2.2695233633652495e-7 - (x1 * 5.763101171698206e-7)) * x1) - 8.160975825958426e-9) / x1) * 99.51024181101646)"
19,1.7482311149038268e-17,"((((x1 * (2.432523643160094 - x1)) + (0.010639115540004655 / x1)) * (4.3564662375984924e-5 - (8.956316034132866e-5 * x1))) - 9.081993940814776e-6) / x1"
21,1.845604800062079e-18,"(((((0.014477106252367956 / x1) + ((3.4877712085760044 - x1) * x1)) * (1.2456602246391509e-6 - (x1 * 2.64421766806124e-6))) - 3.5625751105291914e-7) * 22.372841328108464) / x1"
23,1.8455549779285436e-18,"((((x1 * (((0.014477075584284469 / (x1 * x1)) - x1) + 3.4877712085760044)) * (1.2456593909640538e-6 - (x1 * 2.6442166271701824e-6))) - 3.5625694347551314e-7) / x1) * 22.372841328108027"
25,1.778856513047247e-18,"(((((0.01436881679467151 / (x1 * x1)) + (3.4503981133516683 - x1)) * ((-3.8464103738879925e-6 - (x1 * -8.156727853267462e-6)) * x1)) - -1.0904195018688916e-6) / (x1 / -0.5424262074495597)) * 13.538809732115267"
29,1.778856513046988e-18,"(((((0.01436881679467151 / (x1 + ((x1 * x1) - x1))) + (3.4503981133516683 - x1)) * ((-3.8464103738879925e-6 - (x1 * -8.156727853267462e-6)) * x1)) - -1.0904195018688916e-6) / (x1 / -0.5424262074495597)) * 13.538809732115267"
