Complexity,Loss,Equation
1,1.2879790536406128e-7,"0.0003463135614174776"
3,6.601211723640144e-8,"x1 * 0.0044088806542340805"
5,8.384849355683385e-9,"(x1 * 0.0037164279135914234) + 0.00024926786713978794"
7,2.268334632844255e-9,"((x1 * x1) * 0.013811458969803552) - -0.0002164861868128902"
9,8.803092405636067e-11,"0.00022366882022527117 - (((x1 + 0.14083272477121908) * x1) * -0.009378311950925537)"
11,8.622086570042979e-11,"((x1 * x1) + 0.0988927395867034) * (0.0023844725427415525 - (x1 * -0.017450724849940445))"
13,5.5254576582883635e-12,"0.00022823896061478186 - ((x1 * (-0.006768644569300642 * (x1 + 0.6484394013266231))) * (x1 + 0.33710578567512695))"
15,4.33060309930997e-12,"0.0002283747440119504 - ((((x1 * 1.146444024365219) + 0.43860610693087976) * x1) * ((x1 + 0.5394048434270489) * -0.006224172103631612))"
17,4.140375392130551e-12,"0.00022851473313487375 - (((((x1 + 0.49907534674836324) / x1) * -0.007101865230705024) * (x1 * x1)) * (x1 + 0.4201017244942045))"
19,1.0387179549494506e-12,"(x1 * (0.00811111795505296 * ((x1 * (x1 / 0.8996302583912877)) + ((x1 * -0.28632944188107085) + (x1 + 0.1882466527691205))))) - -0.0002297407462199394"
21,1.038141326421184e-12,"(((((x1 + (((x1 * x1) / 0.8996293778670388) + 0.18825461344006067)) + (x1 * -0.28632719790015027)) * 0.0085907019626496) * x1) - -0.00024333075804407937) / 1.059148745142343"
23,1.0223241261587502e-12,"((((-0.07722939378855694 / x1) - (((x1 * x1) / 0.8996011004048682) + ((x1 * -0.2862553742706737) + (x1 + 0.18850879373832496)))) * x1) * -0.008106246294420676) - 0.0003962913431039802"
25,1.0222276689774446e-12,"(((0.07023990456085077 / (x1 * 0.3525548246487689)) - (((x1 * x1) / 0.8996008964185407) + ((x1 * -0.2862548259907491) + (0.1885106035353236 + x1)))) * (x1 * -0.00810623216708508)) - -0.0018447615631747895"
27,9.895432012545707e-13,"x1 * (((0.05802496330729691 / x1) - ((x1 - ((((x1 + ((x1 + (x1 + 0.38068705821727733)) * x1)) * -0.5066231788929519) + -0.1795481289432474) + x1)) * -2.1451546135852078)) * 0.0039550888097869)"
29,9.89543201254565e-13,"(((0.05802496330729691 / x1) - ((x1 - (x1 + ((((x1 * x1) + ((x1 * (x1 + 0.38068705821727733)) + x1)) * -0.5066231788929519) + -0.1795481289432474))) * -2.1451546135852078)) * 0.0039550888097869) * x1"
